station_cd,station_g_cd,station_name,station_name_k,station_name_r,line_cd,pref_cd,post,address,lon,lat,open_ymd,close_ymd,e_status,e_sort
1121116,1121116,北大曲,,,11211,5,014-0102,大仙市四ツ屋,140.497966,39.48944,0000-00-00,0000-00-00,0,1121116
1121117,1120220,大曲,,,11211,5,014-0027,大仙市大曲通町,140.479628,39.465712,0000-00-00,0000-00-00,0,1121117
1121201,1121201,好摩,,,11212,3,028-4125,盛岡市玉山区好摩,141.173685,39.874037,0000-00-00,0000-00-00,0,1121201
1121202,1121202,東大更,,,11212,3,028-7111,八幡平市大更,141.142537,39.902621,0000-00-00,0000-00-00,0,1121202
1121203,1121203,大更,,,11212,3,028-7111,八幡平市大更,141.100808,39.913746,0000-00-00,0000-00-00,0,1121203
1121204,1121204,平館,,,11212,3,028-7405,八幡平市平舘,141.08531,39.950886,0000-00-00,0000-00-00,0,1121204
1121205,1121205,北森,,,11212,3,028-7301,八幡平市野駄,141.071889,39.956694,1961-04-20,0000-00-00,0,1121205
1121206,1121206,松尾八幡平,,,11212,3,028-7305,八幡平市松尾,141.043903,39.969241,0000-00-00,0000-00-00,0,1121206
1121207,1121207,安比高原,,,11212,3,028-7305,八幡平市松尾前森官有地,140.997239,40.012587,0000-00-00,0000-00-00,0,1121207
1121208,1121208,赤坂田,,,11212,3,028-7554,八幡平市赤坂田,141.00394,40.048464,0000-00-00,0000-00-00,0,1121208
1121209,1121209,小屋の畑,,,11212,3,028-7544,八幡平市保戸坂,141.020673,40.076539,0000-00-00,0000-00-00,0,1121209
1121210,1121210,荒屋新町,,,11212,3,028-7534,八幡平市荒屋新町,141.049196,40.097682,0000-00-00,0000-00-00,0,1121210
1121211,1121211,横間,,,11212,3,028-7536,八幡平市打田内,141.027151,40.107475,0000-00-00,0000-00-00,0,1121211
1121212,1121212,田山,,,11212,3,028-7615,八幡平市石名坂,140.944126,40.139674,0000-00-00,0000-00-00,0,1121212
1121213,1121213,兄畑,,,11212,3,028-7625,八幡平市沖ノ平,140.88302,40.115869,0000-00-00,0000-00-00,0,1121213
1121214,1121214,湯瀬温泉,,,11212,5,018-5141,鹿角市八幡平湯瀬,140.840292,40.122384,0000-00-00,0000-00-00,0,1121214
1121215,1121215,八幡平,,,11212,5,018-5141,鹿角市八幡平小山,140.804496,40.142881,0000-00-00,0000-00-00,0,1121215
1121216,1121216,陸中大里,,,11212,5,018-5141,鹿角市八幡平長田,140.793477,40.158574,0000-00-00,0000-00-00,0,1121216
1121217,1121217,鹿角花輪,,,11212,5,018-5201,鹿角市花輪下中島,140.785088,40.188453,0000-00-00,0000-00-00,0,1121217
1121218,1121218,柴平,,,11212,5,018-5201,鹿角市花輪鶴田,140.787941,40.230751,0000-00-00,0000-00-00,0,1121218
1121219,1121219,十和田南,,,11212,5,018-5336,鹿角市十和田錦木,140.770716,40.256069,0000-00-00,0000-00-00,0,1121219
1121220,1121220,末広,,,11212,5,018-5337,鹿角市十和田末広,140.737251,40.229788,0000-00-00,0000-00-00,0,1121220
1121221,1121221,土深井,,,11212,5,018-5337,鹿角市十和田末広土深井字下向,140.713142,40.222452,0000-00-00,0000-00-00,0,1121221
1121222,1121222,沢尻,,,11212,5,018-5601,大館市十二所,140.693288,40.230342,0000-00-00,0000-00-00,0,1121222
1121223,1121223,十二所,,,11212,5,018-5601,大館市十二所,140.668211,40.21429,0000-00-00,0000-00-00,0,1121223
1121224,1121224,大滝温泉,,,11212,5,018-5601,大館市十二所上川代,140.639625,40.209751,0000-00-00,0000-00-00,0,1121224
1121225,1121225,扇田,,,11212,5,018-5701,大館市比内町扇田,140.572472,40.229235,0000-00-00,0000-00-00,0,1121225
1121226,1121226,東大館,,,11212,5,017-0846,大館市常盤木町,140.554745,40.266005,0000-00-00,0000-00-00,0,1121226
1121227,1120249,大館,,,11212,5,017-0044,大館市御成町１丁目,140.555946,40.288122,0000-00-00,0000-00-00,0,1121227
1121301,1123185,盛岡,,,11213,3,020-0034,盛岡市盛岡駅前通,141.136599,39.701547,0000-00-00,0000-00-00,0,1121301
1121302,1121302,上盛岡,,,11213,3,020-0015,盛岡市本町通３,141.147937,39.71146,0000-00-00,0000-00-00,0,1121302
1121303,1121303,山岸,,,11213,3,020-0004,盛岡市山岸２,141.171401,39.71596,0000-00-00,0000-00-00,0,1121303
1121304,1121304,上米内,,,11213,3,020-0001,盛岡市上米内字中居,141.203825,39.743855,0000-00-00,0000-00-00,0,1121304
1121305,1121305,大志田,,,11213,3,020-0801,盛岡市浅岸字大志田,141.280843,39.741806,1928-09-25,2016-03-26,2,1121305
1121306,1121306,浅岸,,,11213,3,020-0803,盛岡市新庄字中津川,141.339147,39.711208,1928-09-25,2016-03-26,2,1121306
1121307,1121307,区界,,,11213,3,028-2631,岩手県宮古市区界第1地割1009,141.351352,39.65177,0000-00-00,0000-00-00,0,1121307
1121308,1121308,松草,,,11213,3,028-2631,岩手県宮古市区界第4地割28,141.437421,39.635918,0000-00-00,0000-00-00,0,1121308
1121309,1121309,平津戸,,,11213,3,028-2633,岩手県宮古市平津戸,141.511222,39.623408,0000-00-00,2023-03-17,2,1121309
1121310,1121310,川内,,,11213,3,028-2513,岩手県宮古市川内第6地割48-3,141.597548,39.640744,0000-00-00,0000-00-00,0,1121310
1121311,1121311,箱石,,,11213,3,028-2304,岩手県宮古市箱石,141.625829,39.617115,0000-00-00,0000-00-00,0,1121311
1121312,1121312,陸中川井,,,11213,3,028-2302,岩手県宮古市川井第5地割102-10,141.68153,39.597397,0000-00-00,0000-00-00,0,1121312
1121313,1121313,腹帯,,,11213,3,028-2103,宮古市腹帯,141.767434,39.604539,0000-00-00,0000-00-00,0,1121313
1121314,1120701,茂市,,,11213,3,028-2101,宮古市茂市,141.799288,39.620619,0000-00-00,0000-00-00,0,1121314
1121315,1121315,蟇目,,,11213,3,028-2102,宮古市蟇目,141.838876,39.629341,0000-00-00,0000-00-00,0,1121315
1121316,1121316,花原市,,,11213,3,027-0046,宮古市大字花原市,141.861308,39.630233,0000-00-00,0000-00-00,0,1121316
1121317,1121317,千徳,,,11213,3,027-0043,宮古市大字千徳町,141.9124,39.632251,0000-00-00,0000-00-00,0,1121317
1121318,1121318,宮古,,,11213,3,027-0076,宮古市栄町,141.946454,39.640287,0000-00-00,0000-00-00,0,1121318
1121319,1121319,磯鶏,,,11213,3,027-0024,宮古市大字磯鶏,141.960984,39.629883,0000-00-00,0000-00-00,2,1121319
1121320,1121320,津軽石,,,11213,3,027-0203,宮古市大字津軽石,141.937594,39.581507,0000-00-00,0000-00-00,2,1121320
1121321,1121321,豊間根,,,11213,3,028-1302,下閉伊郡山田町豊間根,141.924739,39.534274,0000-00-00,0000-00-00,2,1121321
1121322,1121322,陸中山田,,,11213,3,028-1342,下閉伊郡山田町川向町,141.951533,39.463449,0000-00-00,0000-00-00,2,1121322
1121323,1121323,織笠,,,11213,3,028-1361,下閉伊郡山田町織笠,141.959497,39.447187,0000-00-00,0000-00-00,2,1121323
1121324,1121324,岩手船越,,,11213,3,028-1371,下閉伊郡山田町船越,141.974033,39.431369,0000-00-00,0000-00-00,2,1121324
1121325,1121325,浪板海岸,,,11213,3,028-1101,上閉伊郡大槌町吉里吉里,141.935104,39.383537,0000-00-00,0000-00-00,2,1121325
